OPEID,name,city,state,region,median_debt,default_rate,highest_degree,ownership,locale,hbcu,admit_rate,SAT_avg,online_only,enrollment,net_price,avg_cost,net_tuition,ed_spending_per_student,avg_faculty_salary,pct_PELL,pct_fed_loan,grad_rate,pct_firstgen,med_fam_income,med_alum_earnings
374200,Sweet Briar College,Sweet Briar,VA,South,14,2.5,Graduate,Private nonprofit,Suburb,No,75.95,1100,No,356,23.783,38.835,11.192,23.526,7.11,30.77,57.55,31.82,23.2,41.827,48.425
374700,University of Virginia's College at Wise,Wise,VA,South,12,9.1,Bachelors,Public,Town,No,82.57,1073,No,1143,10.168,22.795,5.298,11.554,7.84,38.32,31.55,51.8,36.7936925,35.325,41.055
375400,Virginia Polytechnic Institute and State University,Blacksburg,VA,South,19.5,1.2,Graduate,Public,Small City,No,65.77,1280,No,29893,21.301,27.283,15.51,13.052,11.654,14.35,37.03,86.08,17.7634755,89.378,73.159
373500,Virginia Commonwealth University,Richmond,VA,South,17,2.6,Graduate,Public,Small City,No,90.6,1163,No,21334,20.49,31.983,12.425,14.831,10,29.09,46.54,66.1,27.6033881,51.128,50.106
374500,University of Virginia-Main Campus,Charlottesville,VA,South,15.711,0.7,Graduate,Public,Suburb,No,22.58,1426,No,17076,22.006,34.094,22.989,19.793,14.952,13.58,24.95,94.01,15.8002039,75.58,77.048
375300,Virginia Military Institute,Lexington,VA,South,17.674,1.6,Bachelors,Public,Town,No,59.88,1180,No,1698,22.025,32.42,15.455,16.21,7.054,14.66,65.31,85.4,15.2475248,99.47,71.91
376400,Virginia State University,Petersburg,VA,South,16,13,Graduate,Public,Suburb,Yes,96.26,916,No,3653,17.237,23.673,6.424,9.929,7.631,70.53,78.04,46.2,34.1638716,30.103,41.987
376600,Virginia Union University,Richmond,VA,South,26,11.6,Graduate,Private nonprofit,Small City,Yes,75.35,851,No,1140,19.736,32.082,15.028,6.952,5.527,68.65,83.23,35.63,40.8088235,26.681,37.83
376700,Virginia Wesleyan University,Virginia Beach,VA,South,13,7.9,Graduate,Private nonprofit,Large City,No,73.99,1095,No,1261,22.653,50.408,14.307,10.324,8.715,37.42,66.62,49.75,30.8724832,47.832,43.579
377100,Central Washington University,Ellensburg,WA,Far West,13,5.2,Graduate,Public,Town,No,85.99,1045,No,10264,16.514,24.008,7.193,10.194,7.71,33.84,47.65,58.35,40.0404222,42.459,55.685
377500,Eastern Washington University,Cheney,WA,Far West,13.984,4,Graduate,Public,Town,No,78.94,993,No,8845,12.335,20.48,7.535,8.314,8.781,35.64,65.95,53.15,36.2318841,38.2185,52.667
815500,The Evergreen State College,Olympia,WA,Far West,14.5,6.5,Graduate,Public,Suburb,No,98.38,1076,No,2053,13.526,24.371,7.913,10.111,7.371,47.59,48.8,44.87,30.0900901,22.2,40.782
377800,Gonzaga University,Spokane,WA,Far West,20.5,1,Graduate,Private nonprofit,Small City,No,72.89,1272,No,4836,34.451,61.761,23.122,12.197,9.995,11.96,41.68,87.97,13.3101045,110,69.468
378300,Northwest University,Kirkland,WA,Far West,15.25,5.3,Graduate,Private nonprofit,Suburb,No,92.77,1110,No,821,20.729,45.095,17.995,10.05,7.102,34.11,65.58,57.74,36.3636364,46.7135,48.096
379400,Saint Martin's University,Lacey,WA,Far West,17.125,2.6,Graduate,Private nonprofit,Small City,No,94.19,1043,No,1377,22.58,52.603,19.469,8.701,6.516,37.01,53.35,61.44,34.0952381,41.889,55.283
378800,Seattle Pacific University,Seattle,WA,Far West,17.627,2,Graduate,Private nonprofit,Large City,No,90.62,1109,No,2694,26.714,60.834,21.418,13.212,8.536,32.35,57.56,65.49,22.8699552,62.276,57.097
379000,Seattle University,Seattle,WA,Far West,17,1.1,Graduate,Private nonprofit,Large City,No,83.23,1249,No,4230,35.109,63.439,27.3,15.86,9.733,18.57,46.64,72.65,19.4029851,74.7875,69.303
380000,Washington State University,Pullman,WA,Far West,14.335,3.3,Graduate,Public,Town,No,79.95,1123,No,25084,15.3,26.068,10.441,10.029,10.282,28.65,39.16,58.55,34.0879765,44.85,61.08
